"","LOCID","LOCAL_INTERVAL_TIME","KWH","DTE","HR"
"1","000018594EL000","2017-01-01 00:00:00.0",0.038,"2017/01/01","00:00"
"2","000018594EL000","2017-01-01 00:15:00.0",0.043,"2017/01/01","00:15"
"3","000018594EL000","2017-01-01 00:30:00.0",0.027,"2017/01/01","00:30"
"4","000018594EL000","2017-01-01 00:45:00.0",0.038,"2017/01/01","00:45"
"5","000018594EL000","2017-01-01 01:00:00.0",0.051,"2017/01/01","01:00"
"6","000018594EL000","2017-01-01 01:15:00.0",0.078,"2017/01/01","01:15"
"7","000018594EL000","2017-01-01 01:30:00.0",0.068,"2017/01/01","01:30"
"8","000018594EL000","2017-01-01 01:45:00.0",0.06,"2017/01/01","01:45"
"9","000018594EL000","2017-01-01 02:00:00.0",0.073,"2017/01/01","02:00"
"10","000018594EL000","2017-01-01 02:15:00.0",0.055,"2017/01/01","02:15"
"11","000018594EL000","2017-01-01 02:30:00.0",0.063,"2017/01/01","02:30"
"12","000018594EL000","2017-01-01 02:45:00.0",0.02,"2017/01/01","02:45"
"13","000018594EL000","2017-01-01 03:00:00.0",0.042,"2017/01/01","03:00"
"14","000018594EL000","2017-01-01 03:15:00.0",0.019,"2017/01/01","03:15"
"15","000018594EL000","2017-01-01 03:30:00.0",0.042,"2017/01/01","03:30"
"16","000018594EL000","2017-01-01 03:45:00.0",0.022,"2017/01/01","03:45"
"17","000018594EL000","2017-01-01 04:00:00.0",0.038,"2017/01/01","04:00"
"18","000018594EL000","2017-01-01 04:15:00.0",0.026,"2017/01/01","04:15"
"19","000018594EL000","2017-01-01 04:30:00.0",0.073,"2017/01/01","04:30"
"20","000018594EL000","2017-01-01 04:45:00.0",0.083,"2017/01/01","04:45"
"21","000018594EL000","2017-01-01 05:00:00.0",0.073,"2017/01/01","05:00"
"22","000018594EL000","2017-01-01 05:15:00.0",0.059,"2017/01/01","05:15"
"23","000018594EL000","2017-01-01 05:30:00.0",0.054,"2017/01/01","05:30"
"24","000018594EL000","2017-01-01 05:45:00.0",0.038,"2017/01/01","05:45"
"25","000018594EL000","2017-01-01 06:00:00.0",0.028,"2017/01/01","06:00"
"26","000018594EL000","2017-01-01 06:15:00.0",0.041,"2017/01/01","06:15"
"27","000018594EL000","2017-01-01 06:30:00.0",0.025,"2017/01/01","06:30"
"28","000018594EL000","2017-01-01 06:45:00.0",0.043,"2017/01/01","06:45"
"29","000018594EL000","2017-01-01 07:00:00.0",0.022,"2017/01/01","07:00"
"30","000018594EL000","2017-01-01 07:15:00.0",0.078,"2017/01/01","07:15"
"31","000018594EL000","2017-01-01 07:30:00.0",0.049,"2017/01/01","07:30"
"32","000018594EL000","2017-01-01 07:45:00.0",0.094,"2017/01/01","07:45"
"33","000018594EL000","2017-01-01 08:00:00.0",0.054,"2017/01/01","08:00"
"34","000018594EL000","2017-01-01 08:15:00.0",0.211,"2017/01/01","08:15"
"35","000018594EL000","2017-01-01 08:30:00.0",0.23,"2017/01/01","08:30"
"36","000018594EL000","2017-01-01 08:45:00.0",0.115,"2017/01/01","08:45"
"37","000018594EL000","2017-01-01 09:00:00.0",0.029,"2017/01/01","09:00"
"38","000018594EL000","2017-01-01 09:15:00.0",0.086,"2017/01/01","09:15"
"39","000018594EL000","2017-01-01 09:30:00.0",0.054,"2017/01/01","09:30"
"40","000018594EL000","2017-01-01 09:45:00.0",0.069,"2017/01/01","09:45"
"41","000018594EL000","2017-01-01 10:00:00.0",0.023,"2017/01/01","10:00"
"42","000018594EL000","2017-01-01 10:15:00.0",0.038,"2017/01/01","10:15"
"43","000018594EL000","2017-01-01 10:30:00.0",0.043,"2017/01/01","10:30"
"44","000018594EL000","2017-01-01 10:45:00.0",0.09,"2017/01/01","10:45"
"45","000018594EL000","2017-01-01 11:00:00.0",0.053,"2017/01/01","11:00"
"46","000018594EL000","2017-01-01 11:15:00.0",0.057,"2017/01/01","11:15"
"47","000018594EL000","2017-01-01 11:30:00.0",0.209,"2017/01/01","11:30"
"48","000018594EL000","2017-01-01 11:45:00.0",0.185,"2017/01/01","11:45"
"49","000018594EL000","2017-01-01 12:00:00.0",0.205,"2017/01/01","12:00"
"50","000018594EL000","2017-01-01 12:15:00.0",0.095,"2017/01/01","12:15"
"51","000018594EL000","2017-01-01 12:30:00.0",0.046,"2017/01/01","12:30"
"52","000018594EL000","2017-01-01 12:45:00.0",0.054,"2017/01/01","12:45"
"53","000018594EL000","2017-01-01 13:00:00.0",0.025,"2017/01/01","13:00"
"54","000018594EL000","2017-01-01 13:15:00.0",0.058,"2017/01/01","13:15"
"55","000018594EL000","2017-01-01 13:30:00.0",0.088,"2017/01/01","13:30"
"56","000018594EL000","2017-01-01 13:45:00.0",0.23,"2017/01/01","13:45"
"57","000018594EL000","2017-01-01 14:00:00.0",0.548,"2017/01/01","14:00"
"58","000018594EL000","2017-01-01 14:15:00.0",0.086,"2017/01/01","14:15"
"59","000018594EL000","2017-01-01 14:30:00.0",0.093,"2017/01/01","14:30"
"60","000018594EL000","2017-01-01 14:45:00.0",0.063,"2017/01/01","14:45"
"61","000018594EL000","2017-01-01 15:00:00.0",0.068,"2017/01/01","15:00"
"62","000018594EL000","2017-01-01 15:15:00.0",0.065,"2017/01/01","15:15"
"63","000018594EL000","2017-01-01 15:30:00.0",0.071,"2017/01/01","15:30"
"64","000018594EL000","2017-01-01 15:45:00.0",0.109,"2017/01/01","15:45"
"65","000018594EL000","2017-01-01 16:00:00.0",0.158,"2017/01/01","16:00"
"66","000018594EL000","2017-01-01 16:15:00.0",0.063,"2017/01/01","16:15"
"67","000018594EL000","2017-01-01 16:30:00.0",0.091,"2017/01/01","16:30"
"68","000018594EL000","2017-01-01 16:45:00.0",0.085,"2017/01/01","16:45"
"69","000018594EL000","2017-01-01 17:00:00.0",0.106,"2017/01/01","17:00"
"70","000018594EL000","2017-01-01 17:15:00.0",0.125,"2017/01/01","17:15"
"71","000018594EL000","2017-01-01 17:30:00.0",0.126,"2017/01/01","17:30"
"72","000018594EL000","2017-01-01 17:45:00.0",0.218,"2017/01/01","17:45"
"73","000018594EL000","2017-01-01 18:00:00.0",0.326,"2017/01/01","18:00"
"74","000018594EL000","2017-01-01 18:15:00.0",0.203,"2017/01/01","18:15"
"75","000018594EL000","2017-01-01 18:30:00.0",0.469,"2017/01/01","18:30"
"76","000018594EL000","2017-01-01 18:45:00.0",0.089,"2017/01/01","18:45"
"77","000018594EL000","2017-01-01 19:00:00.0",0.093,"2017/01/01","19:00"
"78","000018594EL000","2017-01-01 19:15:00.0",0.258,"2017/01/01","19:15"
"79","000018594EL000","2017-01-01 19:30:00.0",0.343,"2017/01/01","19:30"
"80","000018594EL000","2017-01-01 19:45:00.0",0.129,"2017/01/01","19:45"
"81","000018594EL000","2017-01-01 20:00:00.0",0.132,"2017/01/01","20:00"
"82","000018594EL000","2017-01-01 20:15:00.0",0.11,"2017/01/01","20:15"
"83","000018594EL000","2017-01-01 20:30:00.0",0.405,"2017/01/01","20:30"
"84","000018594EL000","2017-01-01 20:45:00.0",0.401,"2017/01/01","20:45"
"85","000018594EL000","2017-01-01 21:00:00.0",0.072,"2017/01/01","21:00"
"86","000018594EL000","2017-01-01 21:15:00.0",0.05,"2017/01/01","21:15"
"87","000018594EL000","2017-01-01 21:30:00.0",0.085,"2017/01/01","21:30"
"88","000018594EL000","2017-01-01 21:45:00.0",0.089,"2017/01/01","21:45"
"89","000018594EL000","2017-01-01 22:00:00.0",0.118,"2017/01/01","22:00"
"90","000018594EL000","2017-01-01 22:15:00.0",0.079,"2017/01/01","22:15"
"91","000018594EL000","2017-01-01 22:30:00.0",0.102,"2017/01/01","22:30"
"92","000018594EL000","2017-01-01 22:45:00.0",0.054,"2017/01/01","22:45"
"93","000018594EL000","2017-01-01 23:00:00.0",0.067,"2017/01/01","23:00"
"94","000018594EL000","2017-01-01 23:15:00.0",0.073,"2017/01/01","23:15"
"95","000018594EL000","2017-01-01 23:30:00.0",0.123,"2017/01/01","23:30"
"96","000018594EL000","2017-01-01 23:45:00.0",0.096,"2017/01/01","23:45"
"97","000018594EL000","2017-01-02 00:00:00.0",0.106,"2017/01/02","00:00"
"98","000018594EL000","2017-01-02 00:15:00.0",0.075,"2017/01/02","00:15"
"99","000018594EL000","2017-01-02 00:30:00.0",0.094,"2017/01/02","00:30"
"100","000018594EL000","2017-01-02 00:45:00.0",0.051,"2017/01/02","00:45"
"101","000018594EL000","2017-01-02 01:00:00.0",0.053,"2017/01/02","01:00"
"102","000018594EL000","2017-01-02 01:15:00.0",0.026,"2017/01/02","01:15"
"103","000018594EL000","2017-01-02 01:30:00.0",0.082,"2017/01/02","01:30"
"104","000018594EL000","2017-01-02 01:45:00.0",0.067,"2017/01/02","01:45"
"105","000018594EL000","2017-01-02 02:00:00.0",0.082,"2017/01/02","02:00"
"106","000018594EL000","2017-01-02 02:15:00.0",0.059,"2017/01/02","02:15"
"107","000018594EL000","2017-01-02 02:30:00.0",0.09,"2017/01/02","02:30"
"108","000018594EL000","2017-01-02 02:45:00.0",0.047,"2017/01/02","02:45"
"109","000018594EL000","2017-01-02 03:00:00.0",0.063,"2017/01/02","03:00"
"110","000018594EL000","2017-01-02 03:15:00.0",0.022,"2017/01/02","03:15"
"111","000018594EL000","2017-01-02 03:30:00.0",0.048,"2017/01/02","03:30"
"112","000018594EL000","2017-01-02 03:45:00.0",0.072,"2017/01/02","03:45"
"113","000018594EL000","2017-01-02 04:00:00.0",0.095,"2017/01/02","04:00"
