"","WeatherDate","DryBulb","HDD","CDD","AVGCLC","AVGDPT","AVGWSP","date"
"1",2006-01-01,20,45,0,100,15.8,2,2006-01-01
"2",2006-01-02,28,37,0,78.4,24.2,1.7,2006-01-02
"3",2006-01-03,18,47,0,67.5,17.8,4,2006-01-03
"4",2006-01-04,23,42,0,77.2,13.7,6.7,2006-01-04
"5",2006-01-05,33,32,0,100,29.8,8,2006-01-05
"6",2006-01-06,24,41,0,100,18.5,7.4,2006-01-06
"7",2006-01-07,14,51,0,47.4,6.8,2.9,2006-01-07
"8",2006-01-08,26,39,0,93.8,20.8,5.4,2006-01-08
"9",2006-01-09,34,31,0,100,27.6,9.4,2006-01-09
"10",2006-01-10,34,31,0,62.3,23.2,6.3,2006-01-10
"11",2006-01-11,40,25,0,94.6,31.9,14.9,2006-01-11
"12",2006-01-12,37,28,0,62.7,34.2,4.8,2006-01-12
"13",2006-01-13,42,23,0,55.3,34,10,2006-01-13
"14",2006-01-14,38,27,0,100,36.8,12.5,2006-01-14
"15",2006-01-15,12,53,0,95.2,-0.6,21.8,2006-01-15
"16",2006-01-16,10,55,0,28.9,-0.2,5.8,2006-01-16
"17",2006-01-17,18,47,0,61.6,8.3,3.3,2006-01-17
"18",2006-01-18,40,25,0,99.8,31.6,14.2,2006-01-18
"19",2006-01-19,34,31,0,70.3,19.1,10,2006-01-19
"20",2006-01-20,44,21,0,97.3,28.9,11.8,2006-01-20
"21",2006-01-21,38,27,0,89.6,29.1,16.2,2006-01-21
"22",2006-01-22,23,42,0,44.2,8.5,6.2,2006-01-22
"23",2006-01-23,29,36,0,91.8,21.9,5,2006-01-23
"24",2006-01-24,30,35,0,85.3,23.5,8.4,2006-01-24
"25",2006-01-25,32,33,0,96.3,27.7,7.5,2006-01-25
"26",2006-01-26,17,48,0,71.4,13.3,9.7,2006-01-26
"27",2006-01-27,16,49,0,22.2,8.3,6.1,2006-01-27
"28",2006-01-28,39,26,0,37.8,23.8,7.7,2006-01-28
"29",2006-01-29,32,33,0,97.1,27,2.3,2006-01-29
"30",2006-01-30,33,32,0,99.8,30.7,3,2006-01-30
"31",2006-01-31,34,31,0,95.6,31.7,5,2006-01-31
"32",2006-02-01,30,35,0,99.3,26.4,3.2,2006-02-01
"33",2006-02-02,36,29,0,72.5,26.9,5.7,2006-02-02
"34",2006-02-03,42,23,0,98.5,35.7,9.6,2006-02-03
"35",2006-02-04,39,26,0,71,31.4,3.8,2006-02-04
"36",2006-02-05,40,25,0,99,33.6,9,2006-02-05
"37",2006-02-06,29,36,0,96.2,17.3,12.8,2006-02-06
"38",2006-02-07,22,43,0,87.5,7.6,10.1,2006-02-07
"39",2006-02-08,17,48,0,82.9,8,6.3,2006-02-08
"40",2006-02-09,15,50,0,75.8,5.8,5,2006-02-09
"41",2006-02-10,10,55,0,44.8,-0.5,5.5,2006-02-10
"42",2006-02-11,12,53,0,20.6,0.8,2.2,2006-02-11
"43",2006-02-12,14,51,0,65.3,5.3,7.5,2006-02-12
"44",2006-02-13,17,48,0,68.7,7.9,8.4,2006-02-13
"45",2006-02-14,32,33,0,94.2,20.5,12.6,2006-02-14
"46",2006-02-15,46,19,0,67.3,25,12.4,2006-02-15
"47",2006-02-16,32,33,0,88.4,21.4,7.7,2006-02-16
"48",2006-02-17,35,30,0,82.3,19.5,18,2006-02-17
"49",2006-02-18,9,56,0,58.8,-5.5,12.4,2006-02-18
"50",2006-02-19,15,50,0,79.4,1.2,11.7,2006-02-19
"51",2006-02-20,22,43,0,72.6,8,10.4,2006-02-20
"52",2006-02-21,26,39,0,70.3,15.3,8.6,2006-02-21
"53",2006-02-22,28,37,0,51.6,16.8,6.5,2006-02-22
"54",2006-02-23,35,30,0,78.8,25.3,7.5,2006-02-23
"55",2006-02-24,24,41,0,64.4,11.3,13.6,2006-02-24
